record_id,strategy_sus,strategy_fs,strategy_nut
LEX-FAOC004653,0.14450955435618748,0.20565987142449543,0.13280340479589714
LEX-FAOC004688,0.2348203399356446,0.45299793069732497,0.40192362291035466
LEX-FAOC004689,0.17305981368069318,0.41540019719506577,0.35711233130022907
LEX-FAOC004692,0.15668063071287322,0.20221053590477436,0.15998338507068366
LEX-FAOC004718,0.19857880221367133,0.2556813472177271,0.19668425844090645
LEX-FAOC004840,0.17084521456460824,0.4621041550644054,0.3609213140894107
LEX-FAOC004841,0.162100678674456,0.3739705433544346,0.37193943643040916
LEX-FAOC004842,0.10426397988905338,0.3528250013191563,0.20898119840881021
LEX-FAOC004843,0.17181464663681179,0.34774129410412624,0.3542899817567347
LEX-FAOC004871,0.2261739683374816,0.29331342050266745,0.1865154940670133
LEX-FAOC004937,0.15333749956845774,0.15128181258568904,0.10138125291844255
LEX-FAOC004956,0.18479449198220038,0.31512428781268587,0.2598096745260961
LEX-FAOC005034,0.20700661688763952,0.3791088271835398,0.2683424752298644
LEX-FAOC005035,0.18314510340572498,0.33353380166861124,0.36851885692591096
LEX-FAOC005037,0.1523250585018109,0.29123931309463535,0.2740993293584294
LEX-FAOC005050,0.12194015932927187,0.20005495995228464,0.13909017553431718
LEX-FAOC005210,0.18398268758769304,0.4107734299995128,0.49153910927526345
LEX-FAOC005265,0.15436417513005468,0.4391505291661455,0.44300970558822944
LEX-FAOC005268,0.10086627920718734,0.34155493693861205,0.29250557402805977
LEX-FAOC005271,0.1540177511127863,0.35652844353435914,0.26259617413514097
LEX-FAOC005279,0.2070408785885062,0.4091221597072637,0.38670390046255654
LEX-FAOC005281,0.16097048699251212,0.43280927107714046,0.36619414804984385
LEX-FAOC005299,0.0705891902403777,0.2903642701598168,0.36584706985300636
LEX-FAOC005305,0.12663089864231827,0.3408136623165828,0.3117734004592435
LEX-FAOC005307,0.11651423687140922,0.3095005668676374,0.23516181240807665
LEX-FAOC005309,0.1264580307132562,0.17545165526337017,0.09102132649971244
LEX-FAOC005332,0.17323816728189106,0.3182801746723926,0.3164394849633246
LEX-FAOC005333,0.1362149445836202,0.33411724838603823,0.3426022022484774
LEX-FAOC005335,0.1569724111544513,0.303866792510715,0.3434204102918283
LEX-FAOC005342,0.11697474487669338,0.15404992412085763,0.25346736325604613
LEX-FAOC005363,0.16434502964501066,0.2053691989596332,0.25079473072813613
LEX-FAOC005377,0.10672391524033932,0.26686356121376026,0.31080821070699555
LEX-FAOC005380,0.16313934738128238,0.20483433615317717,0.2146896239509699
LEX-FAOC005400,0.09157938429837079,0.3093290826400637,0.33432734801228065
LEX-FAOC005401,0.1453971607374964,0.3240229465048554,0.35792736795157737
LEX-FAOC005402,0.14899282706814374,0.2970261411671664,0.34078360439936844
LEX-FAOC005403,0.037772834207593274,0.1887909006335607,0.20553504757165883
LEX-FAOC005433,0.1640227934792782,0.4156066775881445,0.4023425082313191
LEX-FAOC005435,0.049631772110942524,0.1572914131459235,0.125996905334526
LEX-FAOC005436,0.0842435089073231,0.17657520819355266,0.1738268302159483
LEX-FAOC005443,0.12717433996565847,0.3273015045176451,0.2293605262577719
LEX-FAOC005532,0.14180929949654403,0.4824400572678606,0.6596824871820768
LEX-FAOC005555,0.14401218867143156,0.3668433989585772,0.3448240400261367
LEX-FAOC005556,0.1414913837221401,0.21097064204999563,0.32488968500446547
LEX-FAOC005557,0.26559601554161655,0.3049855389954756,0.2633425581843083
LEX-FAOC005567,0.10607877525104425,0.3269520045312087,0.2695546430208778
LEX-FAOC005578,0.048410945910620715,0.19681368441392705,0.2150008476437031
LEX-FAOC005670,0.09027685536716129,0.2744308308679677,0.31322724587861533
LEX-FAOC005679,0.22122918781800707,0.36145271000992113,0.2883175719218422
LEX-FAOC005762,0.2588272187853158,0.4616223963086416,0.4075291395407125
LEX-FAOC005779,0.1689056867090311,0.37219303825180705,0.40282310341894684
LEX-FAOC005830,0.24158440012173868,0.4420479767279029,0.4614968814550809
LEX-FAOC005844,0.1840397145292656,0.23992032557541745,0.25843584939668696
LEX-FAOC005845,0.07671778378366859,0.23949754212412022,0.18965776800068343
LEX-FAOC005848,0.06584204968109351,0.2617710599566914,0.3189361223815268
LEX-FAOC005853,0.08994189887677116,0.2991586800945846,0.31726880951760084
LEX-FAOC005854,0.06918718118562066,0.3006834425524807,0.3210272653873349
LEX-FAOC005855,0.08838333439405101,0.30695116949556944,0.31447795557607666
LEX-FAOC005869,0.10977646091979283,0.2143975352198625,0.13164647397799917
LEX-FAOC005878,0.2296398711921846,0.47618519054587194,0.47796382086257294
LEX-FAOC005894,0.08095941057252923,0.27195290479300405,0.26789560798803597
LEX-FAOC005895,0.09128123924543502,0.2896426575622206,0.2905004473118765
LEX-FAOC005896,0.1702937171019814,0.2795367176338955,0.21765863648321876
LEX-FAOC005945,0.1929523641501284,0.4540640097917023,0.4530842086645182
LEX-FAOC005962,0.14066815367829952,0.35653277340941913,0.33521661279110754
LEX-FAOC005963,0.14669954961674883,0.38625122597429157,0.2669802292443191
LEX-FAOC005964,0.17570194814471302,0.39398379615456575,0.3591605549471375
LEX-FAOC005970,0.07252416593273193,0.27827411153410025,0.22610096940477584
LEX-FAOC005971,0.2165478277904589,0.3294766562541749,0.22658806863265962
LEX-FAOC005972,0.23261436663429472,0.27413405434830646,0.2268801820367634
LEX-FAOC005973,0.1861133704464382,0.40784144873332034,0.37449382224668676
LEX-FAOC005975,0.1635073430984187,0.23785828580077972,0.15322293599346948
LEX-FAOC006173,0.08221575206088087,0.2979429916777495,0.3293578138864919
LEX-FAOC006193,0.14323043150328363,0.21984059919494878,0.22823120616708675
LEX-FAOC006330,0.1510579156196005,0.39769550418668104,0.3366330017056771
LEX-FAOC006331,0.11625931564230767,0.34499542790788346,0.32840142426533986
LEX-FAOC006332,0.11512928552424943,0.29724531856294856,0.2207458875684715
LEX-FAOC006383,0.2401742648658528,0.41184419617701856,0.398727742173802
LEX-FAOC006401,0.1753266849705716,0.24917635354910656,0.1805852260358717
LEX-FAOC006407,0.11805564265643366,0.3735049708772796,0.27665011896155306
